,Post,Comment,Likes,Sentiment,Tipo,Produto/Serviço
0,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Que caixa e essa que vc deixar uma quantia lá, depois anos vc voltar pra saber, sobre o valor que sumiu,e simplesmente fala que cumprem  ordem como assim?,sem sua permissão,achando eu que estava na poupança,",2,Negativo,Reclamação,Contas
1,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Olá sou cliente de vocês tenho uma conta poupança que vence no mês 05/2018 porém a minha agência fica no interior, hoje moro em outra cidade muito distante, bom queria saber se eu posso solicitar outra conta em outra agência, é permitido ?",0,Neutro,Dúvida,Contas
2,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Gostaria de saber quando posso sacar o meu valor de distribuição de lucros das contas inativas.,0,Neutro,Dúvida,Outros/Não Especificado
3,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,preciso de  fazer o cpf de minha filha  ela vai fazer 14 anos em agosto pode fazer pela caixa ecomica?,1,Neutro,Dúvida,Outros/Não Especificado
4,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Bom dia!!!
Moro em são paulo o meu cartão venceu, minha agencia fica em são luiz do MA, meu cadastro costa o end. d a casa da minya mãe.gostaria de saber se tem como vcs me mandarem um outro cartão?",0,Neutro,Dúvida,Cartões
5,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Bom dia fui sacar meu fgts inativo na lotérica mais deu sem saldo mais eu sei q tem dinheiro pra receber oq eu faço pra receber?,1,Neutro,Denúncia,FGTS
6,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Podem responder a mensagem que eu enviei? Eu esqueci a minha senha silábica, só sei a númerica, fiz a pergunta a vocês a 3 dias e nada da resposta!",0,Negativo,Reclamação,"Contas, Atendimento Redes Sociais"
7,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"A prestação de amortização do meu FIES está prevista para o dia 10/07/2017 e até o presente momento não consegui o boleto para pagamento. A Caixa poderia me ajudar a resolver isso? Pelo contrato, se eu não pagar até a data aprazada eu fico em mora.",0,Neutro,Dúvida,FIES
8,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Caixa econômica tá de brincadeira, estou precisando de um novo cartão e tô sendo enrolado por elas no inbox tem uma semana ...tenham mais respeito caixa !!!!",0,Negativo,Reclamação,"Cartões, Atendimento Redes Sociais"
9,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Boa tarde!!!
Perdi meu cartão e gostaria de saber se consigo sacar em qq agência, minha conta é poupança?
Obrigada
P.S. Estou totalmente sem dinheiro",0,Neutro,Dúvida,"Contas, Cartões"
10,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Meu esposo está com valor disponível no FGTS de uma empresa que ele trabalhou há anos, é possível retirar. O que fazer para retirar?",0,Neutro,Dúvida,FGTS
11,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"fui a uma agencia da caixa para abrir uma conta poupanca para minha filha, a atendente informou qua a quantia para deposito era de R$ 2.000,00, achei estranho e voltei para casa liguei para o SAC Caixa e me informaram que esse deposito era de 0 (Zero) reais a qualquer outro valor. Voltei a agencia e a atendente de outro horario me informou que o valor era de R$ 3.000,00. Pedi para falar com o gerente da agencia, o Qual me tratou com indiferencia nos deixando constrangidos afirmando que o valor era o referido e que naquele dia nao iria abrir a conta e que eu voltasse outro dia. Ja liguei para o SAC e se passaram 05 dias uteis e a resposta nao esta de acordo, falaram que ligaram varias vezes e aqui em casa nao recebemos ligacao alguma. Como podem me ajudar?",1,Negativo,Dúvida,"Contas, Atendimento Agências"
12,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Só nao vou minha agência novamente porque viajei tô longe mas deixa volta 😡,0,Neutro,,Outros/Não Especificado
13,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Resumo sobre a caixa: O site, não funciona. A agência, não responde email, nem atende telefone. Msg pelo facebook, esquece. O fgts, só serviu paras as manipulações do Eduardo Cunha, agora que ele está preso, nem pra isso... Vende logo essa bagaça. Ou resolve os bugs no site de vcs...",0,Negativo,Reclamação,"Atendimento Agências, Atendimento Redes Sociais"
14,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"ola bom dia amigos
preciso da ajuda de voces
eu recebi 2 cartoes
visa e master card
porem ja fui na caixa ja liguei a senha nao chega porem nao consigo usar meus cartoes
por falta de senha.
serah que voces ai podem ajudar
meu celular vivo..22.99.717.52.91
edna patricia de moraes coelho schott

URGENTE POR FAVOR AMIGOS
09:38
urgenteeeeeeeeeeee das minhas senhasssssssssssssssssssssssssssssssssssss",0,Neutro,Dúvida,Cartões
15,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Boa tarde gostaria de saber meu valor do pis pasep. E qual direito tenho mas sobre o trabalhador,0,Neutro,Dúvida,PIS
16,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Caixa bim dia quando o sistema da caixa vai esta disponivel para consultar o pis,0,Neutro,Dúvida,PIS
17,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"A Caixa é meu Banco principal, sempre foi e será o meu Banco preferido gosto mesmo, mais hoje tive não resolvi um problema",0,Positivo,Reclamação,Outros/Não Especificado
18,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Boa noite! Como eu faço para cadastrar meu iPhone para acessar minha conta? Antes eu acessava com o android, agora com outro aparelho eu não consigo!",0,Neutro,Dúvida,Mobile
19,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,como eu vejo quantas parcelas ainda faltam do meu CDC Caixa?,0,Neutro,Dúvida,Empréstimos
20,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Boa noite eu tive que fazer uma correção no meu CPF, devido à grafia errada , bom já consegui outro CPF com o nome corrigido, inclusive ja receita federal, mas estou tentando um financiamento e não consigo dar continuidade pq meu nome ainda aparece com o erro... Isso se resolve automaticamente ou terei q ir numa agência pra resolver?",0,Neutro,Dúvida,Habitação
21,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Gostaria de saber como faço para pagar juros de obra do meu financiamento habitacional, através de boleto, ao invés de débito em conta. Liguei no 0800 para solicitar isso e me negaram, sendo que por aqui mesmo eu já havia questionado isso, e haviam me dito que era possível.",0,Neutro,Dúvida,Habitação
22,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Boa tarde
Fui cadastrado no PIS em 2001 como consta no meu CNIS, na época eu tinha 12 anos, de 2001 a 2018 são 17 anos. A minha pergunta é se tenho direito a receber o PIS, 2017/2018, já que trabalhei os 12 meses de 2017?? Quero saber se a data de cadastramento do meu PIS é essa mesmo ? OBS. DATA DE ADMISSÃO DO MEU PRIMEIRO EMPREGO, 26/12/2016.",0,Neutro,Dúvida,PIS
23,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Bom dia
Quero mudar a minha cesta de serviços.
Eu fiz financiei minha casa, e uso esta conta apenas para depositar o valor das parcelas.
Nunca fiz nenhum saque, nenhum extrato, nunca usei o cartão e nunca vou usar nenhum outro serviço.
Quero reduzir as taxas das cesta que estão em R$ 28,90 por mes, para o pacote basico do banco central.
Como devo proceder para fazer isso?",0,Neutro,Dúvida,"Contas, Habitação"
24,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Boa noite! Quero negociar dívida e não consigo. Está virando uma bola de neve.,0,Neutro,Dúvida,Empréstimos
25,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Quem sacou o pis há dez anos atràs , tem direito a receber a denovo?",0,Neutro,Dúvida,PIS
26,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Olá gostaria de sabe como faco pra cadastra a Senh d internet e do meu cartão pis,0,Neutro,Dúvida,PIS
27,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Gostaria de saber, se quando a senha de uma conta/ poupança sem movimentação há mais de 5 anos é esquecida, só se pode cadastrar outra senha se for a própria agência ou poderá ser qualquer uma, ou pelo site ?",0,Neutro,Dúvida,Contas
28,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Não recebo meus boletos e dizem que só conseguirei a segunda via ou renegociação na própria agência...moro a 250km da minha agência. O que fazer?,0,Neutro,Dúvida,Empréstimos
29,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Me der uma resposta por gentileza, desde o dia 10 vocês não respondem a minha indagação .....",0,Negativo,Reclamação,Atendimento Redes Sociais
30,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,fiz uma pergunta no privado a voces faz mais de dia. E ninguém responde. E ai dizem que geralmente respondem ma hora.😒,0,Negativo,Reclamação,Atendimento Redes Sociais
31,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Uma dúvida, posso fazer Ted nos terminais eletrônicos da minha conta poupança caixa para uma conta de outro banco?",1,Neutro,Dúvida,Contas
32,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"eu já tentei entrar em contato com a caixa de varias maneiras, eu esqueci minha senha de silabas, não estou em minha cidade e não posso ir a minha agencia, não tem como eu ligar para o 0800 pois estou no paraguaí, (fronteira proximo a foz) ja mandei um reclame, ja falei por inbox e nada de uma resposta! como faço para recuperar minha senha de silabas?",0,Negativo,Reclamação,Contas
33,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Porque minha casa. Minha vida sai duas vezes para mesma pessoa eu mim escrevir em2012;e recebo o bolsa família e hoje moro em uma invasão que fica dentro de um lago e a prefeitura de vigia de Nazaré do estado do pará só fais cadastro pra quem já tem casa própria isso que e muito injusto .jucileidebrito,0,Negativo,Reclamação,Habitação
34,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Gostaria de tirar o carne de pagamento do meu apartamento como faço?,0,Neutro,Dúvida,Habitação
35,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,O que é necessário para se requerer a solicitação do cartão de crédito universitário ?????,0,Neutro,Dúvida,Contas
36,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,"Quero renegociar
Quita fácil.
Obrigada",0,Neutro,Dúvida,Empréstimos
37,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Já enviei inbox tudo pediu e até agora nada 😡,0,Negativo,Reclamação,Atendimento Redes Sociais
38,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Boa tarde preciso do valor da minha fatura,0,Neutro,Solicitação,Cartões
39,https://www.facebook.com/caixa/photos/a.333880909994306.71311.155187484530317/1363831680332552/?type=3,Tenho um cartao poupanca quero um de bebito como faco,0,Neutro,Dúvida,Cartões
